train_data,pretok,size,type,lemma_voc_pref,lemma_voc_suff,lemma_w_in_p,lemma_w_in_s,lemma_w_in_b,lemma_frtlt,form_voc_pref,form_voc_suff,form_w_in_p,form_w_in_s,form_w_in_b,form_frtlt,otok_unique_tokens,otok_total_tokens,otok_ttl/unq,ptok_unique_tokens,ptok_total_tokens,ptok_ttl/unq,fertility
sample_10_again_very_swedish,pretok,32000,unigram,13242,18758,436,266,532,1.790224032586558,13242,18758,460,518,621,1.8901776005799202,2759,9797,3.5509242479159115,2687,13547,5.041682173427614,1.3827702357864653
sample_10_again,straight,32000,spe_bpe,13904,18096,658,13,391,1.7612016293279023,13904,18096,1003,8,489,1.7575208408843783,2759,9797,3.5509242479159115,3299,12031,3.646862685662322,1.2280289884658568
sample_10,straight,64000,wordpiece,0,64000,0,1285,0,1.5285132382892057,0,64000,0,1800,0,1.525915186661834,2759,9797,3.5509242479159115,3383,11073,3.2731303576707065,1.1302439522302745
sample,straight,64000,unigram,30520,33485,572,114,728,1.4557026476578412,30520,33485,609,301,913,1.5766582094961943,2759,9797,3.5509242479159115,2957,11592,3.920189381129523,1.1832193528631214
sample_10_very_swedish,pretok,32000,unigram,13262,18738,437,269,529,1.7917515274949083,13262,18738,458,513,632,1.8894527002537151,2759,9797,3.5509242479159115,2686,13574,5.0536113179449,1.3855261814841278
sample_very_swedish,pretok,64000,unigram,27123,36877,348,269,747,1.5916496945010183,27123,36877,285,588,853,1.7615077926785068,2759,9797,3.5509242479159115,2717,13097,4.8203901361796095,1.3368378074920895
sample_10_again,pretok,32000,unigram,9393,22607,468,253,433,1.904786150712831,9393,22607,549,455,494,1.9858644436389996,2759,9797,3.5509242479159115,2645,13888,5.250661625708885,1.4175768092273144
sample_10,straight,64000,bpe_straight,0,64000,0,523,0,1.3920570264765784,0,64000,0,728,0,1.3860094237042406,2759,9797,3.5509242479159115,3162,11094,3.50853889943074,1.1323874655506787
sample_10,pretok,64000,wordpiece,0,64000,0,1311,0,1.5117107942973524,0,64000,0,1865,0,1.4878579195360637,2759,9797,3.5509242479159115,3020,11445,3.7897350993377485,1.1682147596202919
sample,straight,32000,unigram,15191,16809,619,102,529,1.6334012219959266,15191,16809,768,242,619,1.7249003262051468,2759,9797,3.5509242479159115,2855,12205,4.274956217162872,1.2457895274063489
sample,pretok,32000,wordpiece,0,32000,0,1098,0,1.7179226069246436,0,32000,0,1577,0,1.6911924610366074,2759,9797,3.5509242479159115,3010,12188,4.049169435215947,1.2440543023374502
sample,pretok,32000,bpe_straight,0,32000,0,392,0,1.8553971486761711,0,32000,0,539,0,1.8162377673069954,2759,9797,3.5509242479159115,3100,13211,4.2616129032258065,1.348474022659998
sample_10_again,straight,64000,bpe_straight,0,64000,0,517,0,1.3920570264765784,0,64000,0,726,0,1.3852845233780355,2759,9797,3.5509242479159115,3157,11091,3.5131453911941715,1.1320812493620496
sample,pretok,32000,spe_bpe,17741,14259,699,22,450,1.674643584521385,17741,14259,1032,25,609,1.6534976440739397,2759,9797,3.5509242479159115,3118,12143,3.894483643361129,1.2394610595080127
sample_10_again,pretok,64000,unigram,21551,42454,346,275,677,1.6822810590631365,21551,42454,320,555,816,1.7981152591518665,2759,9797,3.5509242479159115,2707,13191,4.872922053934245,1.3464325814024702
sample_10,straight,32000,unigram,11088,20912,583,149,452,1.7652749490835031,11088,20912,758,285,514,1.8459586806814063,2759,9797,3.5509242479159115,2802,12887,4.599214846538187,1.3154026742880474
sample_10_again,straight,64000,spe_bpe,37189,26811,766,5,569,1.4786150712830957,37189,26811,1127,8,754,1.4711852120333455,2759,9797,3.5509242479159115,3496,10862,3.106979405034325,1.108706746963356
sample_10,pretok,64000,bpe_straight,0,64000,0,511,0,1.6756619144602851,0,64000,0,724,0,1.639724537876042,2759,9797,3.5509242479159115,3104,12617,4.064755154639175,1.2878432173114218
